product_title_clean,product_category,country_name,price_usd,product_star_rating,product_num_ratings,popularity_weighted_score
"Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |",Security/Antivirus,India,1.1280000000000001,4.1,9630.0,37.60824360039954
"Norton 360 Standard 2020, Antivirus software for 1 Device and 1-year subscription with automatic renewal, Includes Secure VPN",Security/Antivirus,Australia,48.73375,4.3,9512.0,39.38978262178776
"Norton AntiVirus Plus 2020, Antivirus software for 1 Device and 1-year subscription with automatic renewal, PC or Mac, Activa",Security/Antivirus,Australia,48.73375,4.3,9512.0,39.38978262178776
WISO Steuer 2023 (für Steuerjahr 2022) | Aktivierungscode per Email,Tax Software,Germany,2860.92,4.7,9050.0,42.819963480787706
Kaspersky Standard Security 2025 | 1 Device | 1 Year | Digital Download | Instant Delivery - No CD,Security/Antivirus,India,3.612,4.3,8536.0,38.92430922914432
Quick Heal | Total Security Renewal Upgrade Gold pack | 1 User | 3 years | Email Delivery in 1 Hour - no CD| Existing Quick H,Security/Antivirus,India,22.428,4.4,8418.0,39.76828387548573
"Quick Heal Total Security Renewal Upgrade Silver Pack - 1 User, 1 Year (Email Delivery In 1 Hour- No Cd) Existing Single User",Security/Antivirus,India,11.268,4.4,8418.0,39.76828387548573
Kaspersky | Total Security (Plus) | 1 Device | 3 Years | Email Delivery in 1 Hour,Security/Antivirus,India,11.988,4.4,8075.0,39.58526870950401
Norton 360 Premium + Utilities Ultimate 2025 | 10 Geräte | 1 Jahr |Aktivierungscode per Email,Security/Antivirus,Germany,3778.92,4.2,8073.0,37.78489806593412
Norton 360 Premium 2025 | 10 Geräte | 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,2570.4,4.2,8073.0,37.78489806593412
Norton 360 Advanced 2025 | 10 Geräte | 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,3886.92,4.2,8073.0,37.78489806593412
"McAfee Total Protection 2025 | 1 Device, 1 Year | Antivirus Internet Security Software | Scam Protection & Identity Monitorin",Security/Antivirus,India,8.94,4.1,7588.0,36.63126594855604
Microsoft 365 Personal AI機能搭載 1年版|オンラインコード版|Win/Mac/iPad|インストール台数無制限(同時使用可能台数5台),Office/Productivity,Japan,,4.2,7163.0,37.282659805358534
"[Old Version] TurboTax Premier 2023, Federal & State Tax Return [PC/Mac Download]",Tax Software,United States,104.99,4.4,6483.0,38.61920868456449
"[Old Version] TurboTax Premier 2023, Federal & State Tax Return [PC/Mac Disc]",Tax Software,United States,43.49,4.4,6483.0,38.61920868456449
"[Old Version] TurboTax Deluxe 2023, Federal & State Tax Return [PC/Mac Disc]",Tax Software,Mexico,1425.65,4.6,6407.0,40.3203914482417
Norton 360 Deluxe 2025 | 3 Geräte | 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,1393.2,4.1,6351.0,35.901752512000584
Norton 360 Deluxe 2025 | 3 Geräte | 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,1510.92,4.1,6351.0,35.901752512000584
Norton 360 Deluxe 2025 2+1 | 3 Geräte | 1 Jahr | Aktivierungscode in Originalverpackung,Security/Antivirus,Germany,1697.7600000000002,4.1,6351.0,35.901752512000584
Norton 360 Deluxe 2025 2plus1 | 3 Geräte| 1 Jahr | Aktivierungscode per Email,Security/Antivirus,Germany,1942.92,4.1,6351.0,35.901752512000584
"K7 Security K7, Total Security, 1 User, 13 Months, Email Delivery In 2 Hours, No Cd",Security/Antivirus,India,4.74,4.2,6054.0,36.57628655514621
"Norton 360 Deluxe 2025, Antivirus software for 3 Devices with Auto-Renewal – Includes Advanced AI Scam Protection, VPN, Dark",Security/Antivirus,United States,29.99,3.9,5890.0,33.856606061934585
